pid,reg_pos,offensive_awareness,ball_control,tight_possession,low_pass,lofted_pass,finishing,place_kicking,curl,speed,acceleration,jump,physical_contact,balance,stamina,ball_winning,aggression,gk_awareness,gk_catching,gk_reach,defensive_awareness,gk_clearing,heading,dribbling,gk_reflexes,kicking_power,overall
113166,8,68,70,67,69,67,68,65,68,72,73,70,68,73,73,61,67,40,40,40,58,40,66,68,40,70,67
400938,8,68,64,60,65,57,68,62,62,68,68,68,63,63,64,45,49,40,40,40,56,40,62,67,40,67,58
40984,8,70,82,80,81,80,65,75,80,65,67,55,60,75,67,50,65,40,40,40,52,40,60,80,40,73,72
121206,8,67,78,78,74,72,68,77,79,75,82,61,62,78,66,52,55,40,40,40,50,40,60,77,40,77,72
7474,8,76,84,84,79,83,77,80,81,68,71,60,67,76,66,42,48,40,40,40,42,40,60,80,40,77,76
130317,8,74,69,67,69,67,70,69,65,77,79,77,69,75,80,59,68,40,40,40,57,40,67,71,40,75,70
58211,8,63,75,64,76,73,66,64,62,74,79,75,73,61,81,73,64,40,40,40,63,40,69,74,40,75,72
322124,8,76,80,78,75,74,71,75,78,78,78,62,64,76,76,55,67,40,40,40,50,40,64,82,40,73,76
63730,8,75,83,87,85,83,72,85,84,66,72,66,70,87,67,47,56,40,40,40,50,40,60,82,40,81,79
118494,8,75,81,80,80,76,73,73,75,80,82,69,70,82,80,63,72,40,40,40,59,40,69,83,40,84,81
103008,8,81,83,82,84,79,79,62,72,91,83,80,79,75,90,75,80,40,40,40,70,40,71,83,40,81,85
263293673,8,84,90,88,90,91,81,93,94,82,84,75,70,85,82,68,74,40,40,40,65,40,71,88,40,93,92
136314,3,52,53,56,56,53,47,51,58,67,70,60,60,62,63,53,56,40,40,40,53,40,60,59,40,57,52
143983,3,60,62,58,64,63,51,57,62,70,71,61,65,62,66,61,63,40,40,40,60,40,61,61,40,67,58
139178,3,59,60,58,65,69,45,61,62,63,62,64,68,68,64,64,66,40,40,40,68,40,68,61,40,69,59
136832,3,52,60,61,61,58,50,54,58,73,72,71,68,65,74,68,70,40,40,40,67,40,68,55,40,67,61
125659,3,59,62,60,60,65,54,54,62,77,77,66,66,72,72,64,62,40,40,40,60,40,61,64,40,66,63
127075,3,60,65,66,63,69,47,65,67,77,78,64,61,70,69,60,61,40,40,40,56,40,60,67,40,69,63
129219,3,57,64,64,61,57,54,61,65,74,77,67,65,71,74,65,72,40,40,40,60,40,62,63,40,70,63
128542,3,68,68,70,65,60,55,55,65,75,75,65,65,75,70,60,60,40,40,40,60,40,65,68,40,70,64
132843,3,60,70,65,70,72,57,59,72,71,73,65,60,73,73,62,60,40,40,40,62,40,60,68,40,65,65
126340,3,59,66,62,63,65,55,60,64,86,85,66,69,68,72,65,69,40,40,40,61,40,60,70,40,61,68
58159,3,64,68,58,66,67,53,49,49,77,75,73,75,60,80,70,66,40,40,40,68,40,72,74,40,73,66
123809,3,60,64,65,61,67,53,52,58,82,80,75,66,71,77,68,72,40,40,40,62,40,64,65,40,76,68
100001,3,62,71,61,70,66,52,60,66,72,74,67,67,70,73,71,69,40,40,40,69,40,70,63,40,70,68
1073848926,3,62,68,67,67,70,55,53,65,76,74,67,70,68,75,72,75,40,40,40,68,40,62,66,40,73,70
118445,3,66,67,68,65,70,57,62,72,77,75,63,68,66,75,73,71,40,40,40,65,40,62,64,40,74,69
58134,3,60,69,58,69,69,65,61,57,72,72,72,70,60,77,80,66,40,40,40,68,40,69,70,40,72,67
121150,3,63,67,65,67,71,57,65,67,77,79,67,70,72,81,64,76,40,40,40,68,40,62,72,40,72,71
122042,3,60,68,67,68,72,55,60,71,73,74,70,68,72,80,77,77,40,40,40,74,40,67,64,40,79,72
119629,3,59,74,76,75,70,56,55,64,80,85,76,77,79,80,68,67,40,40,40,60,40,64,72,40,67,74
100900,3,67,72,72,74,73,56,66,71,72,70,81,70,74,80,74,67,40,40,40,75,40,68,71,40,71,75
37140,3,69,76,75,72,70,62,56,68,77,75,70,71,77,83,81,76,40,40,40,76,40,73,72,40,70,78
102807308,3,66,77,81,77,74,64,61,75,84,88,69,80,84,87,74,77,40,40,40,73,40,65,80,40,82,83
212961227,3,77,85,81,86,91,65,87,90,84,87,75,70,77,91,83,85,40,40,40,80,40,76,84,40,81,91
1073806791,9,58,61,60,56,53,60,50,59,66,72,58,60,66,61,50,52,40,40,40,48,40,53,63,40,61,54
141988,9,61,65,70,60,62,58,63,65,68,73,62,60,70,64,50,51,40,40,40,51,40,60,68,40,63,58
141006,9,65,65,64,60,67,60,61,65,74,72,64,63,67,67,50,52,40,40,40,51,40,60,70,40,62,60
138079,9,67,72,68,62,59,64,59,65,75,78,60,60,74,68,45,48,40,40,40,47,40,61,73,40,67,62
136519,9,67,64,60,65,64,62,66,62,78,77,61,62,63,71,45,62,40,40,40,56,40,62,67,40,67,62
131364,9,62,67,64,62,61,62,59,68,76,71,64,67,78,68,47,70,40,40,40,47,40,61,72,40,67,62
134474,9,65,67,64,62,60,64,62,64,82,85,65,62,80,67,50,52,40,40,40,50,40,61,69,40,66,65
130491,9,64,68,71,61,63,73,62,63,75,79,67,63,81,64,51,58,40,40,40,50,40,60,70,40,67,65
133611,9,65,66,65,62,60,64,58,63,77,79,71,68,70,68,53,67,40,40,40,56,40,65,68,40,71,64
123759,9,65,68,70,65,67,64,66,66,76,79,70,66,75,71,50,58,40,40,40,50,40,60,70,40,68,66
109233,9,66,73,71,62,52,64,59,64,87,90,62,64,78,70,45,63,40,40,40,48,40,60,82,40,75,70
126866,9,69,69,68,64,63,67,62,67,82,85,65,63,82,72,47,60,40,40,40,45,40,61,72,40,75,68
134475,9,67,70,66,68,71,64,66,66,74,77,66,65,68,70,61,63,40,40,40,61,40,60,74,40,68,67
58311,9,75,86,64,82,77,72,75,72,70,79,76,67,60,74,64,64,40,40,40,40,40,70,83,40,69,77
104044,9,70,74,73,70,68,67,60,66,83,82,68,73,67,75,54,56,40,40,40,50,40,64,75,40,74,71
60966,9,71,77,80,72,74,72,73,77,75,84,65,60,83,73,45,54,40,40,40,43,40,52,78,40,74,73
126750,9,74,68,67,65,60,74,60,69,86,83,76,66,78,77,49,70,40,40,40,47,40,75,73,40,74,72
38616,9,71,74,75,70,71,65,68,76,79,75,70,69,74,75,50,62,40,40,40,52,40,73,77,40,78,72
120927,9,73,80,75,78,68,72,65,70,80,81,69,69,75,75,51,61,40,40,40,50,40,72,76,40,75,75
32578,9,77,80,78,75,76,72,75,77,79,81,70,72,77,75,48,56,40,40,40,50,40,64,79,40,78,77
54375,9,66,72,67,57,69,70,67,67,63,70,59,70,60,76,71,66,40,40,40,70,40,68,67,40,72,67
139875,9,86,85,82,75,78,86,80,82,92,89,78,76,84,86,51,59,40,40,40,46,40,77,83,40,90,88
254808490,9,92,91,89,84,86,92,84,84,86,88,97,88,86,87,59,77,40,40,40,51,40,94,90,40,93,95
